,,,,,,,,,,,,,,,,,,,,,,,
Name,Team,Pos,GP,G,A,+/-,PIM,PPG,PPA,SHG,SHA,Sht,HIT,BLK,GWG,HAT,W,L,T,SHo,GA,SV,GAA
,,,,,,,,,,,,,,,,,,,,,,,
"Abdelkader, Justin",DET,LW,68,11,16,-11,54,2,2,1,1,139,147,24,1,0,0,0,0,0,0,0,0
"Agostino, Kenny",BOS,LW,54,13,14,0,22,2,3,0,0,112,51,14,1,0,0,0,0,0,0,0,0
"Aho, Sebastian",CAR,LW,82,23,24,-4,34,6,9,1,1,208,55,67,3,0,0,0,0,0,0,0,0
"Allen, Jake",STL,G,60,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,0,4,142,1598,2.37
"Andersen, Frederik",TOR,G,62,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,0,3,166,1701,2.68
"Anderson, Craig",OTT,G,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,0,3,132,1299,2.49
"Andersson, Lias",NYR,LW,31,7,8,-2,12,0,2,0,0,78,31,13,0,0,0,0,0,0,0,0,0
"Andrighetto, Sven",COL,RW,56,11,18,-7,24,2,2,0,0,98,33,22,1,0,0,0,0,0,0,0,0
"Anisimov, Artem",CHI,C,75,21,25,6,24,5,7,1,1,133,33,31,4,0,0,0,0,0,0,0,0
"Archibald, Josh",PIT,RW,40,10,4,4,12,0,0,0,1,71,56,8,0,0,0,0,0,0,0,0,0
"Arvidsson, Viktor",NAS,LW,80,24,28,8,30,4,6,2,3,244,25,44,4,0,0,0,0,0,0,0,0
"Athanasiou, Andreas",DET,C,69,19,14,-8,34,3,5,0,1,134,40,24,3,0,0,0,0,0,0,0,0
"Atkinson, Cam",CLM,RW,81,31,27,7,22,9,8,2,0,233,40,37,5,1,0,0,0,0,0,0,0
"Backes, David",BOS,RW,76,18,23,3,71,2,5,0,0,170,210,50,1,0,0,0,0,0,0,0,0
"Backlund, Mikael",CGY,C,81,21,29,8,30,5,9,1,1,181,60,44,4,0,0,0,0,0,0,0,0
"Backstrom, Nicklas",WAS,C,78,23,58,14,34,3,25,0,0,157,44,32,4,0,0,0,0,0,0,0,0
"Baertschi, Sven",VAN,LW,70,16,18,-9,12,2,4,0,0,115,40,33,2,0,0,0,0,0,0,0,0
"Bailey, Josh",NYI,LW,82,12,23,0,24,2,6,1,1,151,44,31,1,0,0,0,0,0,0,0,0
"Barkov, Aleksander",FLA,C,70,24,30,11,12,6,9,0,1,181,44,34,5,0,0,0,0,0,0,0,0
"Barrie, Tyson",COL,D,76,9,33,-14,24,1,8,0,1,166,34,77,1,0,0,0,0,0,0,0,0
"Barzal, Mathew",NYI,C,43,6,17,-3,10,0,4,0,0,57,24,7,0,0,0,0,0,0,0,0,0
"Beagle, Jay",WAS,C,81,11,13,5,22,0,0,0,1,99,55,32,1,0,0,0,0,0,0,0,0
"Beaulieu, Nathan",BUF,D,77,4,23,2,46,1,4,0,0,114,61,99,1,0,0,0,0,0,0,0,0
"Benn, Jamie",DAL,C,80,32,44,0,64,13,15,1,2,244,121,36,5,1,0,0,0,0,0,0,0
"Bennett, Sam",CGY,LW,81,16,18,-10,56,4,2,0,1,139,113,40,2,0,0,0,0,0,0,0,0
"Bergeron, Patrice",BOS,C,80,23,32,14,28,7,9,1,2,241,60,51,4,0,0,0,0,0,0,0,0
"Berglund, Patrik",STL,C,78,17,13,-2,38,3,4,1,1,149,99,44,4,0,0,0,0,0,0,0,0
"Bernier, Jonathan",COL,G,42,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,1,111,1134,2.64
"Berube, Jean-Francois",CHI,G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,56,524,2.8
"Bishop, Ben",DAL,G,55,0,0,0,0,0,0,0,0,0,0,0,0,0,28,22,0,3,137,1463,2.49
"Bjorkstrand, Oliver",CLM,RW,56,14,17,3,12,3,3,0,0,133,20,13,2,0,0,0,0,0,0,0,0
"Bobrovsky, Sergei",CLM,G,64,0,0,0,0,0,0,0,0,0,0,0,0,0,34,26,0,5,149,1707,2.33
"Boeser, Brock",VAN,RW,47,14,13,-3,32,3,2,0,0,99,34,11,1,0,0,0,0,0,0,0,0
"Bonino, Nick",NAS,C,77,17,20,0,24,3,4,1,1,155,45,71,2,0,0,0,0,0,0,0,0
"Boychuk, Johnny",NYI,D,68,6,17,9,30,1,4,1,1,157,151,122,1,0,0,0,0,0,0,0,0
"Bozak, Tyler",TOR,C,76,15,28,-3,24,3,7,0,1,149,45,25,2,0,0,0,0,0,0,0,0
"Brassard, Derick",OTT,C,81,18,26,12,27,4,9,0,0,191,99,24,4,0,0,0,0,0,0,0,0
"Brodie, T.J.",CGY,D,78,6,31,-4,20,1,9,0,1,81,31,112,1,0,0,0,0,0,0,0,0
"Brodin, Jonas",MIN,D,67,2,20,-2,30,1,3,0,0,99,34,100,1,0,0,0,0,0,0,0,0
"Brossoit, Laurent",EDM,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,43,396,2.87
"Brown, Connor",TOR,RW,81,19,15,4,12,2,3,1,1,141,45,51,2,0,0,0,0,0,0,0,0
"Brown, Dustin",LOS,RW,80,14,21,-6,30,2,2,0,1,161,191,28,1,0,0,0,0,0,0,0,0
"Budaj, Peter",TAM,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,1,61,616,2.54
"Burakovsky, Andre",WAS,RW,71,14,24,11,18,3,4,0,0,137,40,25,2,0,0,0,0,0,0,0,0
"Burns, Brent",SAN,D,82,24,47,9,42,9,14,0,1,321,88,135,5,0,0,0,0,0,0,0,0
"Burrows, Alex",OTT,RW,77,15,13,-9,50,1,1,1,1,123,61,31,1,0,0,0,0,0,0,0,0
"Byfuglien, Dustin",WPG,D,80,15,35,6,118,3,12,1,1,239,177,110,3,0,0,0,0,0,0,0,0
"Byron, Paul",MON,C,81,12,10,10,34,0,3,0,1,109,122,36,3,0,0,0,0,0,0,0,0
"Cammalleri, Michael",LOS,LW,63,15,21,-11,24,2,6,0,0,144,33,13,2,0,0,0,0,0,0,0,0
"Carlson, John",WAS,D,77,8,32,10,12,2,12,0,0,167,52,122,2,0,0,0,0,0,0,0,0
"Carter, Jeff",LOS,C,79,27,37,11,34,7,11,1,1,244,87,37,5,0,0,0,0,0,0,0,0
"Cassels, Cole",VAN,C,74,14,22,2,20,4,10,0,0,118,32,16,1,0,0,0,0,0,0,0,0
"Chabot, Thomas",OTT,D,31,2,7,-3,12,0,1,0,0,31,21,21,0,0,0,0,0,0,0,0,0
"Chara, Zdeno",BOS,D,76,8,17,14,62,1,1,0,1,128,132,131,0,0,0,0,0,0,0,0,0
"Chimera, Jason",NYI,LW,82,20,16,-3,34,3,5,1,1,139,122,28,2,0,0,0,0,0,0,0,0
"Cogliano, Andrew",ANA,LW,82,14,19,8,28,0,0,2,1,159,92,30,2,0,0,0,0,0,0,0,0
"Condon, Mike",OTT,G,29,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,1,81,758,2.79
"Connor, Kyle",WPG,LW,44,13,12,-4,10,3,2,0,0,103,15,6,1,0,0,0,0,0,0,0,0
"Coreau, Jared",DET,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,56,3
"Couture, Logan",SAN,C,78,27,33,6,20,9,10,1,1,199,54,54,4,1,0,0,0,0,0,0,0
"Couturier, Sean",PHI,C,70,12,21,10,33,2,4,1,1,127,37,33,2,0,0,0,0,0,0,0,0
"Coyle, Charlie",MIN,RW,82,20,29,7,30,3,4,0,1,155,111,62,4,0,0,0,0,0,0,0,0
"Crawford, Corey",CHI,G,60,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,0,4,145,1557,2.42
